"Figure 3 - Part des femmes parmi les doctorants en sciences","","","","","","","","","","","",""
"","","en %","","","","","","","","","",""
"","2010-2011","2020-2021","","","","","","","","","",""
"Sciences exactes et leurs applications","30.0","31.7","","","","","","","","","",""
"         Mathématiques et leurs interactions","24.6","22.9","","","","","","","","","",""
"         Physique","27.2","27.7","","","","","","","","","",""
"         Sciences de la Terre et de l'Univers, espace","41.5","40.8","","","","","","","","","",""
"         Chimie et sciences des matériaux","43.5","46.3","","","","","","","","","",""
"         Sciences pour l'ingénieur","26.2","29.9","","","","","","","","","",""
"         Sciences et technologies de l'information et de la communication","24.7","26.6","","","","","","","","","",""
"Sciences du vivant","54.1","57.2","","","","","","","","","",""
"         Biologie, médecine et santé","54.5","57.7","","","","","","","","","",""
"         Sciences agronomiques et écologiques","52.9","54.2","","","","","","","","","",""
"Sciences humaines et sociales","54.1","54.6","","","","","","","","","",""
"         Sciences humaines et humanités","57.9","57.5","","","","","","","","","",""
"         Sciences de la société","48.4","50.3","","","","","","","","","",""
"Ensemble des doctorants","46.2","46.7","","","","","","","","","",""
"Lecture : en 2020-2021, 55 % des doctorants en sciences humaines et sociales sont des femmes.","","","","","","","","","","","",""
"Champ : France, tous types d'établissements.","","","","","","","","","","","",""
"Source : Mesri-Sies, enquête sur les écoles doctorales.
","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
"","","","","","","","","","","","",""
