indicatorId,geoUnit,year,value,qualifier,magnitude
FRESP.THC,AGO,2016,28.71429,,
FRESP.THC,ARE,2018,33.34734,,
FRESP.THC,ARE,2019,33.48451,,
FRESP.THC,ARE,2020,33.59224,,
FRESP.THC,ARE,2021,33.57928,,
FRESP.THC,ARG,2012,52.49432,,
FRESP.THC,ARG,2013,52.48325,,
FRESP.THC,ARG,2014,53.12717,,
FRESP.THC,ARG,2015,52.50498,,
FRESP.THC,ARG,2016,53.10644,,
FRESP.THC,ARG,2017,53.75991,,
FRESP.THC,ARG,2018,53.34301,,
FRESP.THC,ARG,2019,53.13934,,
FRESP.THC,ARG,2020,53.24902,,
FRESP.THC,ARG,2021,53.60891,,
FRESP.THC,ARG,2022,53.59932,,
FRESP.THC,ARM,2012,45.06903,,
FRESP.THC,ARM,2013,48.13953,,
FRESP.THC,ARM,2014,53.74035,,
FRESP.THC,ARM,2015,52.46369,,
FRESP.THC,ARM,2016,52.0641,,
FRESP.THC,ARM,2017,52.06243,,
FRESP.THC,ARM,2018,50.38416,,
FRESP.THC,ARM,2019,51.51695,,
FRESP.THC,ARM,2020,53.32569,,
FRESP.THC,ARM,2021,53.05958,,
FRESP.THC,ARM,2022,52.88971,,
FRESP.THC,AUT,2013,29.59495,,
FRESP.THC,AUT,2015,29.49354,,
FRESP.THC,AUT,2017,30.0593,,
FRESP.THC,AUT,2019,30.39204,,
FRESP.THC,AUT,2021,31.25169,,
FRESP.THC,AZE,2012,51.54222,,
FRESP.THC,AZE,2013,53.33882,,
FRESP.THC,AZE,2014,54.26945,,
FRESP.THC,AZE,2015,54.83671,,
FRESP.THC,AZE,2016,57.05557,,
FRESP.THC,AZE,2017,59.04154,,
FRESP.THC,AZE,2018,58.56925,,
FRESP.THC,AZE,2019,54.96094,,
FRESP.THC,AZE,2020,54.54469,,
FRESP.THC,AZE,2021,55.4477,,
FRESP.THC,AZE,2022,57.92432,,
FRESP.THC,BDI,2012,14.09978,,
FRESP.THC,BDI,2018,14.30894,,
FRESP.THC,BEL,2013,33.39993,,
FRESP.THC,BEL,2015,34.11795,,
FRESP.THC,BEL,2017,34.82445,,
FRESP.THC,BEL,2019,32.62094,,
FRESP.THC,BEL,2021,34.06773,,
FRESP.THC,BFA,2014,15.24116,,
FRESP.THC,BFA,2017,17.02439,,
FRESP.THC,BFA,2019,17.12148,,
FRESP.THC,BFA,2020,17.02128,,
FRESP.THC,BFA,2021,17.45971,,
FRESP.THC,BGR,2012,48.61029,,
FRESP.THC,BGR,2013,49.69866,,
FRESP.THC,BGR,2014,49.47457,,
FRESP.THC,BGR,2015,47.92636,,
FRESP.THC,BGR,2016,49.10109,,
FRESP.THC,BGR,2017,47.37495,,
FRESP.THC,BGR,2018,45.87575,,
FRESP.THC,BGR,2019,46.51072,,
FRESP.THC,BGR,2020,46.74961,,
FRESP.THC,BGR,2021,48.26547,,
FRESP.THC,BGR,2022,46.92402,,
FRESP.THC,BHR,2014,38.97436,,
FRESP.THC,BIH,2012,34.54318,,
FRESP.THC,BIH,2013,38.8755,,
FRESP.THC,BIH,2014,44.29274,,
FRESP.THC,BIH,2015,44.40735,,
FRESP.THC,BIH,2016,47.11637,,
FRESP.THC,BIH,2017,46.82373,,
FRESP.THC,BIH,2018,47.10035,,
FRESP.THC,BIH,2019,50.02357,,
FRESP.THC,BIH,2020,45.99579,,
FRESP.THC,BIH,2021,49.17012,,
FRESP.THC,BIH,2022,49.05386,,
FRESP.THC,BLR,2012,41.12866,,
FRESP.THC,BLR,2013,41.05596,,
FRESP.THC,BLR,2014,41.19272,,
FRESP.THC,BLR,2015,40.48251,,
FRESP.THC,BLR,2016,39.61135,,
FRESP.THC,BLR,2017,39.7039,,
FRESP.THC,BLR,2018,39.26084,,
FRESP.THC,BLR,2019,38.99121,,
FRESP.THC,BLR,2020,40.04911,,
FRESP.THC,BLR,2021,38.94369,,
FRESP.THC,BLR,2022,39.20614,,
FRESP.THC,BMU,2012,46.34146,,
FRESP.THC,BMU,2013,45.16129,,
FRESP.THC,BMU,2014,35.48387,,
FRESP.THC,BMU,2015,32.35294,,
FRESP.THC,BMU,2018,37.83784,,
FRESP.THC,BMU,2019,45.71429,,
FRESP.THC,BMU,2020,40,,
FRESP.THC,BOL,2012,36.46154,,
FRESP.THC,BOL,2013,37.76706,,
FRESP.THC,BOL,2014,37.50775,,
FRESP.THC,BOL,2017,43.67089,,
FRESP.THC,BOL,2019,41.98664,,
FRESP.THC,BOL,2021,44.0844,,
FRESP.THC,BRN,2018,45.15539,,
FRESP.THC,BRN,2022,39.82074,,
FRESP.THC,BWA,2012,27.24638,,
FRESP.THC,BWA,2013,29.60526,,
FRESP.THC,CHE,2012,32.41593,,
FRESP.THC,CHE,2015,33.56222,,
FRESP.THC,CHE,2017,35.19998,,
FRESP.THC,CHE,2019,35.70305,,
FRESP.THC,CHE,2021,37.41187,,
FRESP.THC,CHL,2012,30.9736,,
FRESP.THC,CHL,2013,34.32599,,
FRESP.THC,CHL,2014,31.47574,,
FRESP.THC,CHL,2015,33.01639,,
FRESP.THC,CHL,2016,33.06966,,
FRESP.THC,CHL,2017,34.43409,,
FRESP.THC,CHL,2018,32.43274,,
FRESP.THC,CHL,2019,34.80043,,
FRESP.THC,CHL,2020,34.87978,,
FRESP.THC,CHL,2021,33.25497,,
FRESP.THC,CHL,2022,34.07321,,
